Ferrovia;Ano;Linha;Segmento_Pátio A;Segmento_Pátio B;Extensão (km);Bitola;Raio Mín. de Curva (m);Rampa Máxima (%)_Crescente;Rampa Máxima (%)_Decrescente;Nº de Linhas;Sentido do Tráfego;Controle de Circulação;Nº Dias Operacionais;Sist. de Sinalização;Potência (HP);Permite Circ. de Produto Perigoso;Equipamento Embarcado Loco.;Tempo de Percurso (min)_Crescente;Tempo de Percurso (min)_Decrescente;Justificativa de Tráfego;Tempo de Lic. (min);Sessões de Bloqueio;Índices de Eficiência Considerado (%)_K1;Índices de Eficiência Considerado (%)_K2;Índices de Eficiência Considerado (%)_K3;Índices de Eficiência Considerado (%)_K;Capacidade_Instalada Calculada_Crescente;Capacidade_Instalada Calculada_Decrescente;Capacidade_Vinculada Considerada_Crescente;Capacidade_Vinculada Considerada_Decrescente;Capacidade_Ociosa Considerada_Crescente;Capacidade_Ociosa Considerada_Decrescente
MRS;2025;Ramal Porto Sudeste;Brisamar (FBA), km 0,000;Porto Sudeste (FOP), km 3,000;3.0;Larga ;150;0.2;0.0;Dupla;Bidirecional;CCO;365;Segmento não sinalizado;;Não;Não;10.8;10.8;;5.0;1.0;0.9;0.67;1;0.603;54.9569620253;54.9569620253;7.82;7.82;47.1329620253;47.1329620253
MRS;2025;Segregação Leste;Suzano Novo (ISU), km 27,047;Aracaré Leste (IRA), km 34,159;9.158;Larga ;0;0.0;0.0;Singela;Bidirecional;CCO;365;ATC;;Sim;Não;11.93;11.13;;20.0;1.0;1.0;0.7;1;0.7;23.40919647;23.40919647;5.39;5.71;18.0187692554;17.6960147302
MRS;2025;Segregação Leste;Aracaré Leste (IRA), km 34,159;Pinheirinho (FPI), km 39,095;10.044;Larga ;239;1.0;0.0;Singela;Bidirecional;CCO;365;Segmento não sinalizado;;Sim;Não;55.26;32.5;;20.0;1.0;0.9;0.7;1;0.63;8.4187082405;8.4187082405;5.36;5.71;3.0613274975;2.7038532617
MRS;2025;Ligação Pereque - Areais;Pereque (ZPG), km 14,000;Areais (IAA), km 15,000;1.23;Mista;160;1.71;2.29;Singela;Bidirecional;CCO;365;CTC;;Não;Não;7.2;10.8;;14.0;1.0;0.9281;0.7;1;0.6497;29.23515;29.23515;14.47;14.47;14.76315;14.76315
MRS;2025;Ramal Córrego do Feijão;Alberto Flores (FAF), km 574,000;Córrego do Feijão (FCF), km 581,000;7.0;Larga ;0;0.1;0.3;Singela;Interrompido;CCO;365;Segmento não sinalizado;8772.0;Não;Sim;0.0;0.0;Trecho desativado.;;;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
MRS;2025;Ligação à Arará;Arará (FAR), km 0,000;Rocha Sobrinho (HRS), km 29,000;28.999;Larga ;100;1.76;1.93;Singela;Bidirecional;CCO;365;Segmento não sinalizado;;Não;Não;78.9;78.97;;10.0;1.0;1.0;0.7;1;0.7;6.0046464526;6.0046464526;3.06;3.06;2.9432384317;2.9432384317
MRS;2025;Ligação à Arará;Rocha Sobrinho (HRS), km 29,000;Posto km 64 (FQS), km 64,000;35.0;Larga ;231;1.18;1.1;Singela;Bidirecional;CCO;365;Segmento não sinalizado;;Não;Não;31.25;91.73;;10.0;1.0;1.0;0.7;1;0.7;7.5800872311;7.5800872311;3.06;3.06;4.5186792103;4.5186792103
MRS;2025;Brisamar - Sepetiba;Brisamar (FBA), km 0,000;Baia Sepetiba (FXS), km 5,000;5.0;Larga ;173;0.01;0.02;Singela;Bidirecional;CCO;365;Segmento não sinalizado;;Não;Não;12.6;29.4;;6.0;1.0;1.0;0.73;1;0.73;21.9;21.9;13.32;13.35;8.5811044617;8.5486389788
MRS;2025;Ramal da Cosigua;Brisamar (FBA), km 0,000;Siderúrgica do Atlântico (HSG), km 16,000;16.0;Larga ;173;0.01;0.02;Singela;Bidirecional;CCO;365;Segmento não sinalizado;;Não;Não;104.4;102.6;;10.0;2.0;1.0;0.67;1;0.67;4.4460829493;4.4460829493;2.94;2.94;1.5044885278;1.5044885278
MRS;2025;Ramal do Terminal de Cimento Barroso;Barbacena (FBC), km 0,000;Terminal Cimento Barroso (FAB), km 1,000;1.0;Larga ;182;0.0;0.0;Singela;Bidirecional;CCO;365;TWE;;Não;Sim;90.0;90.0;;14.0;1.0;0.8338;0.67;1;0.5586;4.1466507216;4.1466507216;1.09;1.09;3.0552763426;3.0552763426
MRS;2025;Ramal do Terminal da Paraibuna Metais;Benfica (FBF), km 0,000;Terminal Paraibuna de Metais (FPM), km 6,000;6.0;Larga ;120;0.0;0.0;Singela;Bidirecional;CCO;365;TWE;;Não;Sim;18.6;31.2;;14.0;1.0;0.8338;0.67;1;0.5586;12.608937931;12.608937931;1.07;1.07;11.5357260442;11.5357260442
MRS;2025;Linha de São Paulo;Barra do Pirai (FBP), km 108,222;Pulverizacao (FPU), km 110,662;2.44;Larga ;575;0.2;0.2;Dupla;Bidirecional;CCO;365;CBTC;;Não;Sim;10.8;6.0;;3.0;2.0;0.9817;0.79;1;0.7755;80.9262260869;124.08688;6.94;45.93;73.9852985898;78.1546929071
MRS;2025;Linha de São Paulo;Pulverizacao (FPU), km 110,662;Waldemar de Brito (FWB), km 115,836;5.174;Larga ;490;0.4;1.0;Dupla;Bidirecional;CCO;365;CBTC;;Não;Sim;6.0;11.4;;3.0;2.0;0.9817;0.79;1;0.7755;124.08688;77.5543;6.94;45.93;117.1459525028;31.6221129071
MRS;2025;Linha de São Paulo;Waldemar de Brito (FWB), km 115,836;Vargem Alegre (FVA), km 121,890;6.054;Larga ;224;0.3;0.29;Dupla;Bidirecional;CCO;365;CBTC;;Não;Sim;16.2;15.6;;3.0;2.0;0.9817;0.79;1;0.7755;58.165725;60.0420387096;6.94;45.93;51.2247975028;14.1098516168
MRS;2025;Linha de São Paulo;Vargem Alegre (FVA), km 121,890;Pinheiral (FPL), km 130,192;8.302;Larga ;220;0.7;0.6;Dupla;Bidirecional;CCO;365;CBTC;;Não;Sim;17.4;12.0;;3.0;2.0;0.9817;0.79;1;0.7755;54.7442117647;74.452128;6.94;45.93;47.8032842675;28.5199409071
