Ferrovia;Ano;Pátio;Código;Em Operação;Auto Assistido;Comprimento Útil de Desvio (m);Tempo Médio Licenc. (min.);Linhas de Referência
MRS;2025.0;Brisamar;FBA;Sim;Sim;2169.0;3.0;Ramal Porto Sudeste (km 0,000), Brisamar - Sepetiba (km 0,000), Ramal da Cosigua (km 0,000), Ramal de Mangaratiba (km 27,120)
MRS;2025.0;Suzano Novo;ISU;Sim;Sim;1309.0;10.0;Segregação Leste (km 27,047), Variante Rio Grande da Serra - Suzano (km 25,000)
MRS;2025.0;Porto Sudeste;FOP;Sim;Não;3000.0;10.0;Ramal Porto Sudeste (km 3,000)
MRS;2025.0;Aracaré Leste;IRA;Sim;Sim;500.0;15.0;Segregação Leste (km 34,159)
MRS;2025.0;Pinheirinho;FPI;Sim;Sim;1893.0;5.0;Segregação Leste (km 39,095), Linha de São Paulo (km 454,786)
MRS;2025.0;Areais;IAA;Sim;Sim;1863.0;7.0;Ligação Pereque - Areais (km 15,000), Ramal das Fábricas (km 15,000), Santos - Jundiaí (km 15,000)
MRS;2025.0;Alberto Flores;FAF;Sim;Não;200.0;3.0;Ramal Córrego do Feijão (km 574,000)
MRS;2025.0;Córrego do Feijão;FCF;Sim;Não;1500.0;7.0;Ramal Córrego do Feijão (km 581,000)
MRS;2025.0;Arará;FAR;Sim;Não;7043.0;10.0;Ligação à Arará (km 0,000)
MRS;2025.0;Rocha Sobrinho;HRS;Sim;Sim;1360.0;5.0;Ligação à Arará (km 29,000)
MRS;2025.0;Posto km 64;FQS;Sim;Sim;559.0;5.0;Ligação à Arará (km 64,000), Ramal de Mangaratiba (km 60,452), Posto km 64 - 452 (Linha do Centro) (km 64,285)
MRS;2025.0;Baia Sepetiba;FXS;Sim;Não;1500.0;3.0;Brisamar - Sepetiba (km 5,000)
MRS;2025.0;Siderúrgica do Atlântico;HSG;Sim;Não;1500.0;5.0;Ramal da Cosigua (km 16,000)
MRS;2025.0;Barbacena;FBC;Sim;Sim;5648.0;5.0;Ramal do Terminal de Cimento Barroso (km 0,000), Posto km 64 - 452 (Linha do Centro) (km 378,192)
MRS;2025.0;Terminal Cimento Barroso;FAB;Sim;Não;600.0;7.0;Ramal do Terminal de Cimento Barroso (km 1,000)
MRS;2025.0;Benfica;FBF;Sim;Sim;1343.0;3.0;Ramal do Terminal da Paraibuna Metais (km 0,000), Posto km 64 - 452 (Linha do Centro) (km 288,582)
MRS;2025.0;Terminal Paraibuna de Metais;FPM;Sim;Não;608.0;7.0;Ramal do Terminal da Paraibuna Metais (km 6,000)
MRS;2025.0;Barra do Pirai;FBP;Sim;Sim;3193.0;3.0;Linha de São Paulo (km 108,222), Posto km 64 - 452 (Linha do Centro) (km 108,500)
MRS;2025.0;Pulverizacao;FPU;Sim;Sim;1185.0;3.0;Linha de São Paulo (km 110,662)
MRS;2025.0;Waldemar de Brito;FWB;Sim;Sim;3981.0;3.0;Linha de São Paulo (km 115,836)
MRS;2025.0;Vargem Alegre;FVA;Sim;Sim;4357.0;3.0;Linha de São Paulo (km 121,890)
MRS;2025.0;Pinheiral;FPL;Sim;Sim;2009.0;3.0;Linha de São Paulo (km 130,192)
MRS;2025.0;Rademaker;FRK;Sim;Sim;3987.0;3.0;Linha de São Paulo (km 138,353)
MRS;2025.0;Volta Redonda;FVR;Sim;Sim;1993.0;3.0;Linha de São Paulo (km 144,872)
MRS;2025.0;Inferno Verde;FIV;Sim;Sim;1776.0;3.0;Linha de São Paulo (km 148,000)
MRS;2025.0;Barbará;FBB;Sim;Sim;2265.0;3.0;Linha de São Paulo (km 150,000)
MRS;2025.0;Saudade;FSE;Sim;Sim;530.0;3.0;Linha de São Paulo (km 156,473), Ferrovia do Aço (km 0,000)
MRS;2025.0;Pombal;FPB;Sim;Sim;1923.0;3.0;Linha de São Paulo (km 163,777)
MRS;2025.0;Floriano;FFL;Sim;Sim;1999.0;3.0;Linha de São Paulo (km 172,401)
