Ferrovia;Ano;Pátio de Referência;Terminal;Mercadoria;Capacidade_Vg/dia;Capacidade_TU/dia;Nº Horas Func. Dia;Tempo Médio de Carga_Vg/h;Tempo Médio de Carga_TU/h;Tempo Médio de Descarga_Vg/h;Tempo Médio de Descarga_TU/h
MRS;2025.0;Água Branca (IAB, MRS);IDL;Contêiner Cheio/Vazio;20.0;1320.0;9.0;2.2;146.7;2.2;146.7
MRS;2025.0;Água Branca (IAB, MRS);IDL;Areia;17.0;1020.0;9.0;1.9;113.3;1.9;113.3
MRS;2025.0;Água Branca (IAB, MRS);IDL;Cimento acondicionado;4.0;280.0;9.0;0.4;31.1;0.4;31.1
MRS;2025.0;Arará (FAR, MRS);FAY;Cimento acondicionado;20.0;1340.0;24.0;0.8;55.8;0.8;55.8
MRS;2025.0;Arará (FAR, MRS);FCU;Cimento acondicionado;20.0;1340.0;24.0;0.8;55.8;0.8;55.8
MRS;2025.0;Arará (FAR, MRS);FDJ;Prd.Siderúrgicos - Outros;10.0;630.0;24.0;0.4;26.3;0.4;26.3
MRS;2025.0;Arará (FAR, MRS);FDJ;Ferro Gusa;70.0;4690.0;24.0;2.9;195.4;2.9;195.4
MRS;2025.0;Arará (FAR, MRS);FLG;Contêiner Cheio/Vazio;32.0;2144.0;24.0;1.3;89.3;1.3;89.3
MRS;2025.0;Arará (FAR, MRS);FLG;Prd.Siderúrgicos - Outros;30.0;1890.0;24.0;1.3;78.8;1.3;78.8
MRS;2025.0;Arará (FAR, MRS);FLG;Cimento acondicionado;20.0;1340.0;24.0;0.8;55.8;0.8;55.8
MRS;2025.0;Arará (FAR, MRS);FLI;Contêiner Cheio/Vazio;25.0;1675.0;24.0;1.0;69.8;1.0;69.8
MRS;2025.0;Arará (FAR, MRS);FMW;Prd.Siderúrgicos - Outros;32.0;2016.0;24.0;1.3;84.0;1.3;84.0
MRS;2025.0;Arará (FAR, MRS);FMW;Contêiner Cheio/Vazio;32.0;2144.0;24.0;1.3;89.3;1.3;89.3
MRS;2025.0;Arará (FAR, MRS);FPP;Zinco;21.0;1470.0;24.0;0.9;61.3;0.9;61.3
MRS;2025.0;Baia Sepetiba (FXS, MRS);FSV;Minério de Ferro;899.0;53570.0;24.0;37.5;2232.1;37.5;2232.1
MRS;2025.0;Barão de Angra (FBN, MRS);FAX;Bauxita;70.0;5180.0;10.0;7.0;518.0;7.0;518.0
MRS;2025.0;Barão de Juparana (FBJ, MRS);FGX;Prd.Siderúrgicos - Outros;10.0;700.0;10.0;1.0;70.0;1.0;70.0
MRS;2025.0;Barbará (FBB, MRS);FKK;Prd.Siderúrgicos - Outros;26.0;1716.0;24.0;1.1;71.5;1.1;71.5
MRS;2025.0;Barbará (FBB, MRS);FKK;Sucata;10.0;500.0;24.0;0.4;20.8;0.4;20.8
MRS;2025.0;Barnabé (IBA, MRS);IEM;Contêiner Cheio/Vazio;25.0;1650.0;24.0;1.0;68.8;1.0;68.8
MRS;2025.0;Barnabé (IBA, MRS);IEM;Celulose;42.0;2772.0;24.0;1.8;115.5;1.8;115.5
MRS;2025.0;Barreiro (FBO, MRS);FNN;Prd.Siderúrgicos - Outros;14.0;812.0;24.0;0.6;33.8;0.6;33.8
MRS;2025.0;Barreiro (FBO, MRS);FNN;Sucata;5.0;250.0;24.0;0.2;10.4;0.2;10.4
MRS;2025.0;Benfica (FBF, MRS);FBT;Cimento acondicionado;5.0;430.0;24.0;0.2;17.9;0.2;17.9
MRS;2025.0;Brisamar (FBA, MRS);FUG;Prd.Siderúrgicos - Outros;50.0;2850.0;24.0;2.1;118.8;2.1;118.8
MRS;2025.0;Brisamar (FBA, MRS);FUR;Contêiner Cheio/Vazio;34.0;1938.0;24.0;1.4;80.8;1.4;80.8
MRS;2025.0;Caçapava (FCA, MRS);FAE;Prd.Siderúrgicos - Outros;13.0;884.0;24.0;0.5;36.8;0.5;36.8
MRS;2025.0;Caçapava (FCA, MRS);FES;Prd.Siderúrgicos - Outros;13.0;884.0;24.0;0.5;36.8;0.5;36.8
MRS;2025.0;Capuava (ICP, MRS);ICC;Cimento acondicionado;8.0;568.0;24.0;0.3;23.7;0.3;23.7
MRS;2025.0;Carlos Newlands (FSN, MRS);FSX;Minério de Ferro;544.0;47124.0;24.0;22.7;1963.5;22.7;1963.5
MRS;2025.0;Cel. João Carlos Guedes (FJC, MRS);FVJ;Prd.Siderúrgicos - Outros;42.0;3486.0;24.0;1.8;145.3;1.8;145.3
MRS;2025.0;Cel. João Carlos Guedes (FJC, MRS);FVJ;Minério de Ferro;136.0;9520.0;24.0;5.7;396.7;5.7;396.7
MRS;2025.0;Cel. João Carlos Guedes (FJC, MRS);FVJ;Sucata;4.0;232.0;24.0;0.2;9.7;0.2;9.7
MRS;2025.0;Conceiçãozinha (ICZ, MRS);ICN;Contêiner Cheio/Vazio;26.0;2236.0;24.0;1.1;93.2;1.1;93.2
MRS;2025.0;Conceiçãozinha (ICZ, MRS);IFR;Soja;110.0;8690.0;24.0;4.6;362.1;4.6;362.1
MRS;2025.0;Conceiçãozinha (ICZ, MRS);IFZ;Enxofre;21.0;1281.0;24.0;0.9;53.4;0.9;53.4
MRS;2025.0;Cruzeiro (FCZ, MRS);FMX;Prd.Siderúrgicos - Outros;8.0;520.0;16.0;0.5;32.5;0.5;32.5
MRS;2025.0;Cruzeiro (FCZ, MRS);FON;Areia;21.0;1365.0;10.0;2.1;136.5;2.1;136.5
MRS;2025.0;Curuputuba (FCT, MRS);FNB;Prd.Siderúrgicos - Outros;20.0;1007.0;16.0;1.3;62.9;1.3;62.9
MRS;2025.0;Curuputuba (FCT, MRS);FNO;Contêiner Cheio/Vazio;25.0;5777.0;24.0;1.0;240.7;1.0;240.7
MRS;2025.0;Curuputuba (FCT, MRS);FOF;Coque;35.0;9128.0;10.0;3.5;912.8;3.5;912.8
MRS;2025.0;Dias Tavares (FDT, MRS);FMJ;Prd.Siderúrgicos - Outros;36.0;2232.0;23.0;1.6;97.0;1.6;97.0
MRS;2025.0;Dias Tavares (FDT, MRS);FMJ;Sucata;20.0;1600.0;23.0;0.9;69.6;0.9;69.6
MRS;2025.0;Dias Tavares (FDT, MRS);FMJ;Minério de Ferro;33.0;3043.0;24.0;1.4;126.8;1.4;126.8
MRS;2025.0;Dias Tavares (FDT, MRS);FTF;Contêiner Cheio/Vazio;20.0;1200.0;9.0;2.2;133.3;2.2;133.3
MRS;2025.0;Dr. Joaquim Murtinho (FDM, MRS);FJB;Minério de Ferro;276.0;15667.0;24.0;11.5;652.8;11.5;652.8
MRS;2025.0;Dr. Joaquim Murtinho (FDM, MRS);FJB;Magnetita;10.0;870.0;16.0;0.6;54.4;0.6;54.4
MRS;2025.0;Edmar Alves (FEA, MRS);FDG;Contêiner Cheio/Vazio;45.0;2070.0;19.0;2.4;108.9;2.4;108.9
MRS;2025.0;Eng. Cesar de Souza (FCE, MRS);FAH;Prd.Siderúrgicos - Outros;10.0;650.0;9.0;1.1;72.2;1.1;72.2
MRS;2025.0;Eng. Neiva (FEN, MRS);FKC;Contêiner Cheio/Vazio;45.0;180.0;10.0;4.5;18.0;4.5;18.0
MRS;2025.0;Eng. São Paulo (IES, MRS);IMY;Cimento acondicionado;5.0;350.0;9.0;0.6;38.9;0.6;38.9
MRS;2025.0;Estação TUF (IUF, MRS);ITL;Açúcar;84.0;7610.0;24.0;3.5;317.1;3.5;317.1
