Ferrovia;Ano;Linha;Perfil Trilho_Perfil;Perfil Trilho_Faixa km;Fixação_Tipo;Fixação_Faixa km;Dormente_Tipo;Dormente_Faixa km;Taxa de Dormentação_Taxa (dorm/km);Taxa de Dormentação_Faixa km;Gabarito Horizontal_Gabarito (m);Gabarito Horizontal_Faixa km;Gabarito Vertical_Gabarito (m);Gabarito Vertical_Faixa km;VMA Trem Carregado_VMA (km/h);VMA Trem Carregado_Faixa km;VMA Trem Vazio_VMA (km/h);VMA Trem Vazio_Faixa km;VMA Produto Perigoso_VMA (km/h);VMA Produto Perigoso_Faixa km;VMC Trem Carregado_VMC (km/h);VMC Trem Carregado_Faixa km;VMC Trem Vazio_VMC (km/h);VMC Trem Vazio_Faixa km;VMC Produto Perigoso_VMC (km/h);VMC Produto Perigoso_Faixa km;Carga Máx. por Eixo_Carga (t);Carga Máx. por Eixo_Faixa km
MRS;2025.0;Posto km 64 - 452 (Linha do Centro);TR 68;64,285 à 452,000;Flexível;64,285 à 108,222;Mad/Aço;64,285 à 452,000;1850.0;64,285 à 452,000;3.3;64,285 à 452,000;4.3;64,285 à 452,000;50.0;64,285 à 65,500;50.0;64,285 à 65,500;40.0;64,285 à 106,171;21.0;64,285 à 452,000;26.0;64,285 à 452,000;0.0;64,285 à 452,000;36.0;64,285 à 108,222
MRS;2025.0;Ramal do Terminal da Açominas;TR 57;477,852 à 487,427;Flexível;477,852 à 487,427;Madeira;477,852 à 487,427;1850.0;477,852 à 487,427;3.3;477,852 à 487,427;4.3;477,852 à 487,427;30.0;477,852 à 487,427;40.0;477,852 à 487,427;40.0;477,852 à 487,427;16.0;477,852 à 487,427;14.0;477,852 à 487,427;0.0;477,852 à 487,427;32.0;477,852 à 487,427
MRS;2025.0;Ligação à Arará;TR 57;0,000 à 64,000;Ríg/Flex;0,000 à 64,000;Madeira;0,000 à 64,000;1850.0;0,000 à 64,000;3.3;0,000 à 64,000;4.3;0,000 à 64,000;30.0;0,000 à 4,000;30.0;0,000 à 4,000;30.0;0,000 à 64,000;19.0;0,000 à 64,000;22.0;0,000 à 64,000;0.0;0,000 à 64,000;32.0;0,000 à 64,000
MRS;2025.0;Ramal de Mangaratiba;TR 68;0,000 à 60,452;Flexível;0,000 à 60,452;Madeira;0,000 à 60,452;1850.0;0,000 à 60,452;3.3;0,000 à 60,452;4.3;0,000 à 60,452;15.0;0,000 à 0,300;15.0;0,000 à 0,300;15.0;0,000 à 1,500;22.0;0,000 à 60,452;27.0;0,000 à 60,452;0.0;0,000 à 60,452;36.0;0,000 à 60,452
MRS;2025.0;Variante do Paraopeba;TR 68;477,852 à 611,063;Flexível;477,852 à 611,063;Madeira;477,852 à 624,820;1850.0;477,852 à 624,820;3.3;477,852 à 624,820;4.3;477,852 à 624,820;50.0;477,852 à 612,735;64.0;477,852 à 612,735;40.0;477,852 à 624,820;21.0;477,852 à 624,820;28.0;477,852 à 624,820;28.0;477,852 à 624,820;32.0;477,852 à 624,820
MRS;2025.0;Variante do Paraopeba;TR 57;611,063 à 624,820;Rígida;611,063 à 624,820;;;;;0.0;;0.0;;40.0;612,735 à 624,820;40.0;612,735 à 624,820;;;;;;;;;;
MRS;2025.0;Ramal de Águas Claras;TR 68;612,735 à 623,853;Flexível;612,735 à 623,853;Madeira;612,735 à 623,853;1850.0;612,735 à 623,853;3.3;612,735 à 623,853;4.3;612,735 à 623,853;40.0;612,735 à 623,853;50.0;612,735 à 623,853;40.0;612,735 à 623,853;22.0;612,735 à 623,853;29.0;612,735 à 623,853;0.0;612,735 à 623,853;32.0;612,735 à 623,853
MRS;2025.0;Ferrovia do Aço;TR 68;0,000 à 353,666;Flexível;0,000 à 353,666;Madeira;0,000 à 353,666;1850.0;0,000 à 353,666;3.3;0,000 à 353,666;4.3;0,000 à 353,666;64.0;0,000 à 150,000;64.0;0,000 à 150,000;40.0;0,000 à 353,666;23.0;0,000 à 353,666;25.0;0,000 à 353,666;0.0;0,000 à 353,666;36.0;0,000 à 353,666
MRS;2025.0;Linha de São Paulo;TR 68;108,222 à 158,340;Flexível;108,222 à 158,340;Mad/Aço;108,222 à 158,340;1850.0;108,222 à 158,340;3.3;108,222 à 461,858;4.3;108,222 à 461,858;30.0;108,222 à 109,000;30.0;108,222 à 109,000;40.0;108,222 à 461,858;22.0;108,222 à 461,858;21.0;108,222 à 461,858;12.0;108,222 à 461,858;36.0;108,222 à 158,340
MRS;2025.0;Linha de São Paulo;TR 57;158,340 à 461,858;Flexível;158,340 à 461,858;Madeira;158,340 à 461,858;1850.0;158,340 à 461,858;0.0;;0.0;;64.0;109,000 à 151,890;64.0;109,000 à 151,890;;;;;;;;;32.0;158,340 à 461,858
